id,email,password,gender,focus,prior1,prior2,prior3,prior4,prior5,prior6
1,hslafford0@123-reg.co.uk,JaqygASpQ,Agender,vejr,programmer,esport,,håndbold,formel1,nyheder
2,ccullinan1@zdnet.com,PeEAZGI,Female,podcas,tennis,liescore,radar,,samfund,
3,cvan2@vkontakte.ru,rk5M8XMVvDI,Genderqueer,tennis,tech,fodbold,politik,esport,,
4,ihaggas3@yahoo.com,y5PDB1D72,Agender,formel1,basketball,nyheder,ishockey,penge,krimi,vejr
5,dhawket4@youtube.com,etLfR2Z,Polygender,fodbold,tech,udland,politik,,,krimi
6,blinturn5@microsoft.com,HVaTCEJR,Genderfluid,business,liescore,sport,krimi,,programmer,nyheder
7,swaudby6@upenn.edu,vUP9nZB,Polygender,podcas,cykling,tech,krimi,,esport,samfund
8,dfortoun7@nasa.gov,gkD11kjRwu,Female,badminton,cykling,programmer,business,coronavirus,,tvguide
9,crime8@booking.com,FCFa8Ol,Genderqueer,håndbold,programmer,liescore,cykling,,,tennis
10,sworham9@nyu.edu,XmK8gX,Female,sport,klima,esport,tech,sport,politik,cykling
11,nstaytea@livejournal.com,QiyxBn7IU,Non-binary,fodbold,cykling,coronavirus,basketball,tvguide,formel1,udland
12,cbaalhamb@yale.edu,baN4buLzuw,Bigender,liescore,vejr,badminton,samfund,,,
13,kmarklinc@gravatar.com,j8hkjIa,Female,badminton,badminton,nyheder,,business,,
14,rdenidged@mashable.com,D0k2ya,Non-binary,nyheder,politik,penge,,krimi,udland,ishockey
15,ppapaccioe@va.gov,1Koh6U5,Genderfluid,sport,sport,badminton,politik,samfund,basketball,penge
16,whawtreyf@jimdo.com,VL1lwi7V,Non-binary,tvguide,tech,nyheder,radar,klima,håndbold,fodbold
17,nstuckowg@nymag.com,h6mvXfQp,Genderfluid,klima,badminton,basketball,ishockey,samfund,krimi,
18,eegellh@statcounter.com,c4XbHQxN,Male,politik,radar,fodbold,nyheder,basketball,udland,penge
19,chadrilli@about.me,g78K9SsrWI,Polygender,coronavirus,tech,håndbold,politik,,tvguide,radar
